step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
144,search,6241.41,2626.18,2314.91,0.954353,206.691,-nan,-nan,0.91456,0.109763,-1.0,-1.0,24.75,2.2119,1886,4925657
145,delete,3.511,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.53,2.2119,1886,4922686
146,search,6171.69,2625.56,2280.18,0.95377,193.989,-nan,-nan,0.91446,0.109852,-1.0,-1.0,24.855,2.2119,1886,4922686
147,delete,14.843,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.69,2.21112,1885,4913636
148,search,5968.34,2618.4,2105.17,1.09628,169.414,-nan,-nan,0.91408,0.110126,-1.0,-1.0,25.277,2.21112,1885,4913636
149,delete,223.864,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1302.35,2.12677,1783,4717250
150,search,5884.96,2661.2,2206.16,0.937183,200.538,-nan,-nan,0.91312,0.110701,-1.0,-1.0,84.428,2.12769,1790,4717250
151,delete,159.894,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1075.16,2.05462,1703,4560269
152,search,5568.99,2679.2,2064.38,1.00481,172.801,-nan,-nan,0.91218,0.112074,-1.0,-1.0,127.943,2.05722,1715,4560269
153,delete,27.506,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,128.201,2.04439,1702,4521936
154,search,5546.05,2659.42,2030.95,0.994625,174.079,-nan,-nan,0.91132,0.112694,-1.0,-1.0,23.197,2.04439,1702,4521936
155,delete,23.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.073,2.03931,1699,4502222
156,search,5619.6,2650.09,2110,0.973728,191.059,-nan,-nan,0.91081,0.112923,-1.0,-1.0,32.594,2.03955,1700,4502222
157,delete,41.423,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,183.427,2.0254,1688,4456039
158,search,5480.81,2638.31,1995.63,1.0085,171.259,-nan,-nan,0.91089,0.113378,-1.0,-1.0,22.469,2.0254,1688,4456039
159,delete,299.097,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1835.36,1.87414,1527,4143922
160,search,4997.27,2749.53,1857.87,1.0208,151.177,-nan,-nan,0.90946,0.113899,-1.0,-1.0,261.886,1.88039,1562,4143922
161,delete,41.329,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.183,1.8742,1558,4101445
162,search,4951.31,2633.96,1735.78,1.10226,136.504,-nan,-nan,0.90957,0.113751,-1.0,-1.0,21.404,1.8742,1558,4101445
163,delete,19.045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.495,1.87226,1555,4080175
164,search,5152.87,2617.81,1911.65,0.940008,171.623,-nan,-nan,0.90901,0.114164,-1.0,-1.0,21.459,1.87226,1555,4080175
165,delete,30.365,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,105.488,1.86473,1549,4047313
166,search,5104.63,2606.38,1884.37,0.940985,166.942,-nan,-nan,0.90922,0.113894,-1.0,-1.0,21.046,1.86473,1549,4047313
167,delete,6.923,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.665,1.8645,1549,4040738
168,search,5013.91,2601.87,1825.3,1.01188,149.682,-nan,-nan,0.90932,0.113879,-1.0,-1.0,21.053,1.8645,1549,4040738
169,delete,22.424,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,48.181,1.86229,1547,4022674
170,search,5083.86,2590.93,1876.55,0.939891,164.343,-nan,-nan,0.90937,0.113885,-1.0,-1.0,21.122,1.86229,1547,4022674
171,delete,6.422,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.966,1.86229,1547,4015835
172,search,5083.46,2584.95,1874.79,0.911814,162.678,-nan,-nan,0.90922,0.113929,-1.0,-1.0,21.08,1.86229,1547,4015835
173,delete,35.471,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.943,1.85826,1546,3986424
174,search,4968.43,2557.32,1780.44,1.00246,156.052,-nan,-nan,0.9087,0.114186,-1.0,-1.0,22.524,1.85826,1546,3986424
175,delete,196.307,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,667.664,1.77137,1467,3804693
176,search,4788.91,2585.27,1747.98,0.999854,149.163,-nan,-nan,0.90692,0.115298,-1.0,-1.0,67.559,1.77212,1472,3804693
177,delete,19.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.175,1.76656,1467,3786352
178,search,4822.86,2567.41,1780.5,0.960918,155.313,-nan,-nan,0.9067,0.11531,-1.0,-1.0,32.461,1.76676,1468,3786352
179,delete,277.027,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1056.85,1.63374,1319,3556994
180,search,4273.56,2659.04,1532.45,1.05382,128.427,-nan,-nan,0.89591,0.121702,-1.0,-1.0,90.475,1.6356,1327,3556994
181,delete,27.897,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.27,1.62952,1323,3526824
182,search,4409.88,2619.66,1642.78,0.97329,143.468,-nan,-nan,0.89651,0.121068,-1.0,-1.0,33.071,1.62965,1325,3526824
183,delete,177.725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,766.07,1.54039,1215,3350245
184,search,4110.83,2703.35,1557.89,0.953996,134.8,-nan,-nan,0.8801,0.139869,-1.0,-1.0,74.203,1.54177,1224,3350245
185,delete,10.713,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.32,1.53979,1219,3340234
186,search,4088.08,2650.72,1525.64,0.909161,139.139,-nan,-nan,0.88494,0.131323,-1.0,-1.0,76.376,1.54156,1222,3340234
