step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
124,search,4741.85,0.88126,0.131424,19.836,18.3256,149.472,2.18696,1797,4938477
125,insert,63.723,-1.0,-1.0,-1.0,-1.0,68.576,2.20464,1805,4980492
126,search,4945.4,0.88175,0.131552,19.7332,18.3052,40.516,2.20493,1807,4980492
127,insert,71.663,-1.0,-1.0,-1.0,-1.0,77.772,2.22549,1817,5030515
128,search,5042.96,0.88258,0.130504,19.6553,18.281,26.1,2.22549,1818,5030515
129,delete,19.093,-1.0,-1.0,-1.0,-1.0,13.843,2.22511,1818,5009391
130,search,4985.66,0.88254,0.130721,19.6659,18.3152,14.896,2.22511,1818,5009391
131,delete,5.049,-1.0,-1.0,-1.0,-1.0,14.37,2.22511,1818,5004093
132,search,4884.29,0.8826,0.130672,19.6524,18.3112,14.966,2.22511,1818,5004093
133,delete,10.465,-1.0,-1.0,-1.0,-1.0,14.63,2.22511,1818,4991787
134,search,5172.17,0.88266,0.130641,19.6579,18.3209,14.912,2.22511,1818,4991787
135,delete,15.141,-1.0,-1.0,-1.0,-1.0,13.527,2.22431,1818,4974857
136,search,5020.67,0.88305,0.13039,19.6213,18.3125,15.709,2.22431,1818,4974857
137,delete,3.632,-1.0,-1.0,-1.0,-1.0,13.939,2.22431,1818,4971386
138,search,5145.8,0.88306,0.130408,19.6283,18.3103,15.398,2.22431,1818,4971386
139,delete,9.093,-1.0,-1.0,-1.0,-1.0,13.458,2.22431,1818,4963487
140,search,5152.2,0.88293,0.130377,19.6583,18.3337,15.724,2.22431,1818,4963487
141,delete,21.212,-1.0,-1.0,-1.0,-1.0,13.46,2.2238,1818,4941830
142,search,5089.69,0.88303,0.130512,19.6694,18.3454,15.821,2.2238,1818,4941830
143,delete,19.729,-1.0,-1.0,-1.0,-1.0,13.594,2.22143,1818,4925657
144,search,4939.51,0.88286,0.130569,19.6885,18.3691,15.475,2.22143,1818,4925657
145,delete,3.089,-1.0,-1.0,-1.0,-1.0,13.569,2.22143,1818,4922686
146,search,5117.11,0.8829,0.130595,19.6756,18.3759,15.167,2.22143,1818,4922686
147,delete,8.829,-1.0,-1.0,-1.0,-1.0,13.581,2.22143,1818,4913636
148,search,4687.71,0.88296,0.130442,19.7007,18.4006,15.293,2.22143,1818,4913636
149,delete,214.747,-1.0,-1.0,-1.0,-1.0,14.057,2.19857,1818,4717250
150,search,4674.98,0.88245,0.130901,19.7853,18.5084,16.034,2.19857,1818,4717250
151,delete,205.28,-1.0,-1.0,-1.0,-1.0,13.772,2.16451,1818,4560269
152,search,4702.32,0.88134,0.131449,19.9457,18.5862,16.302,2.16451,1818,4560269
153,delete,42.694,-1.0,-1.0,-1.0,-1.0,14.264,2.15391,1818,4521936
154,search,4485.95,0.88054,0.132039,20.0548,18.6561,13.066,2.15391,1818,4521936
155,delete,13.778,-1.0,-1.0,-1.0,-1.0,11.574,2.15176,1818,4502222
156,search,4816.93,0.88057,0.131992,20.0546,18.6743,16.323,2.15176,1818,4502222
157,delete,45.791,-1.0,-1.0,-1.0,-1.0,14.145,2.14629,1818,4456039
158,search,4813.85,0.88001,0.132422,20.1212,18.7246,16.791,2.14629,1818,4456039
159,delete,360.096,-1.0,-1.0,-1.0,-1.0,13.851,2.03063,1818,4143922
160,search,4659.24,0.87823,0.133662,20.3417,18.9219,16.181,2.03063,1818,4143922
161,delete,54.129,-1.0,-1.0,-1.0,-1.0,14.127,2.02303,1818,4101445
162,search,4631.16,0.87828,0.133838,20.3345,18.9356,15.453,2.02303,1818,4101445
163,delete,23.591,-1.0,-1.0,-1.0,-1.0,13.519,2.01367,1818,4080175
164,search,4594.68,0.87784,0.13412,20.4039,18.9657,16.077,2.01367,1818,4080175
165,delete,37.81,-1.0,-1.0,-1.0,-1.0,13.654,2.00452,1818,4047313
166,search,4566.84,0.87786,0.134303,20.4205,18.9917,16.011,2.00452,1818,4047313
167,delete,11.982,-1.0,-1.0,-1.0,-1.0,13.7,2.00213,1818,4040738
168,search,4577.01,0.87769,0.134525,20.442,18.9951,16.602,2.00213,1818,4040738
169,delete,23.242,-1.0,-1.0,-1.0,-1.0,13.448,1.9968,1818,4022674
170,search,4557.45,0.87728,0.13473,20.4726,19.0108,16.509,1.9968,1818,4022674
171,delete,13.345,-1.0,-1.0,-1.0,-1.0,13.768,1.99291,1818,4015835
172,search,4779.47,0.87722,0.134757,20.4886,19.027,16.678,1.99291,1818,4015835
173,delete,50.949,-1.0,-1.0,-1.0,-1.0,13.775,1.97858,1818,3986424
174,search,4398.77,0.87638,0.135267,20.5634,19.0825,16.575,1.97858,1818,3986424
175,delete,221.359,-1.0,-1.0,-1.0,-1.0,13.538,1.90948,1818,3804693
176,search,4468.46,0.87432,0.135894,20.8358,19.1572,16.399,1.90948,1818,3804693
177,delete,24.189,-1.0,-1.0,-1.0,-1.0,13.992,1.90402,1818,3786352
178,search,4470.6,0.87397,0.135945,20.8741,19.165,16.117,1.90402,1818,3786352
179,delete,252,-1.0,-1.0,-1.0,-1.0,13.345,1.80199,1818,3556994
180,search,4240.15,0.86966,0.137334,21.4185,19.2499,16.171,1.80199,1818,3556994
181,delete,44.096,-1.0,-1.0,-1.0,-1.0,13.839,1.78699,1818,3526824
182,search,4305.69,0.86931,0.137605,21.447,19.2757,17.145,1.78699,1818,3526824
183,delete,188.078,-1.0,-1.0,-1.0,-1.0,13.408,1.70964,1818,3350245
184,search,4208.79,0.86244,0.142242,22.4081,19.7594,11.86,1.70964,1818,3350245
185,delete,9.299,-1.0,-1.0,-1.0,-1.0,9.741,1.70627,1818,3340234
186,search,4044.88,0.86248,0.14221,22.419,19.7658,13.894,1.70627,1818,3340234
187,delete,166.412,-1.0,-1.0,-1.0,-1.0,12.763,1.6162,1818,3150857
188,search,4040.95,0.8646,0.140539,21.9776,19.3985,16.938,1.6162,1818,3150857
189,delete,11.059,-1.0,-1.0,-1.0,-1.0,14.157,1.61417,1818,3143609
190,search,4165.7,0.86438,0.140673,21.9963,19.4198,10.843,1.61417,1818,3143609
191,delete,4.444,-1.0,-1.0,-1.0,-1.0,11.889,1.61165,1818,3141038
192,search,4094.82,0.86432,0.140676,21.9935,19.412,16.674,1.61165,1818,3141038
193,delete,79.172,-1.0,-1.0,-1.0,-1.0,14.017,1.57978,1818,3081734
194,search,3835.92,0.86281,0.141605,22.2438,19.5746,14.223,1.57978,1818,3081734
195,delete,36.41,-1.0,-1.0,-1.0,-1.0,12.749,1.56014,1818,3043966
196,search,3957.4,0.86208,0.142669,22.3273,19.6372,16.62,1.56014,1818,3043966
197,delete,48.541,-1.0,-1.0,-1.0,-1.0,14.48,1.54298,1818,3008145
198,search,3955.07,0.86155,0.142716,22.4142,19.6992,13.272,1.54298,1818,3008145
199,delete,10.948,-1.0,-1.0,-1.0,-1.0,11.866,1.53834,1818,2999384
200,search,3900.97,0.861,0.142993,22.4903,19.7293,11.601,1.53834,1818,2999384
201,delete,5.192,-1.0,-1.0,-1.0,-1.0,9.332,1.53572,1818,2993528
202,search,3449.55,0.86068,0.143014,22.5371,19.7501,17.535,1.53572,1818,2993528
203,delete,21.045,-1.0,-1.0,-1.0,-1.0,14.451,1.53002,1818,2980973
204,search,3959.78,0.8606,0.143098,22.5167,19.7202,17.482,1.53002,1818,2980973
205,delete,33.381,-1.0,-1.0,-1.0,-1.0,14.656,1.52116,1818,2960291
206,search,4035.31,0.86061,0.143017,22.5579,19.7135,10.88,1.52116,1818,2960291
207,delete,33.21,-1.0,-1.0,-1.0,-1.0,9.695,1.50162,1818,2920620
208,search,3114.5,0.86016,0.143377,22.5352,19.6886,10.775,1.50162,1818,2920620
209,delete,16.775,-1.0,-1.0,-1.0,-1.0,9.678,1.49058,1818,2900501
210,search,3118.7,0.85971,0.142991,22.6386,19.7055,10.7,1.49058,1818,2900501
211,delete,7.223,-1.0,-1.0,-1.0,-1.0,9.46,1.48588,1818,2891660
212,search,3853.94,0.85936,0.143372,22.6681,19.7394,13.961,1.48588,1818,2891660
213,delete,15.712,-1.0,-1.0,-1.0,-1.0,12.248,1.47657,1818,2873257
214,search,3834.44,0.85812,0.143949,22.8108,19.8141,17.018,1.47657,1818,2873257
215,delete,372.361,-1.0,-1.0,-1.0,-1.0,13.979,1.3127,1818,2537571
216,search,3722.23,0.85124,0.147583,23.6987,20.1773,17.155,1.3127,1818,2537571
217,delete,246.559,-1.0,-1.0,-1.0,-1.0,14.116,1.19323,1818,2308194
218,search,3642.65,0.8453,0.151171,24.312,20.5364,17.577,1.19323,1818,2308194
219,delete,33.261,-1.0,-1.0,-1.0,-1.0,14.937,1.18109,1818,2285820
220,search,3620.99,0.84415,0.152147,24.3499,20.5214,12.435,1.18109,1818,2285820
221,delete,148.05,-1.0,-1.0,-1.0,-1.0,10.136,1.08192,1818,2082858
222,search,3462.6,0.84261,0.151629,24.6078,20.5822,17.682,1.08192,1818,2082858
223,delete,15.465,-1.0,-1.0,-1.0,-1.0,14.671,1.0757,1818,2071207
224,search,3622.73,0.84146,0.152477,24.7149,20.5876,18.589,1.0757,1818,2071207
225,delete,11.565,-1.0,-1.0,-1.0,-1.0,14.936,1.07328,1818,2065400
226,search,3619.2,0.84121,0.152693,24.7684,20.6486,14.044,1.07328,1818,2065400
227,delete,4.633,-1.0,-1.0,-1.0,-1.0,12.014,1.07066,1818,2062105
228,search,3695.82,0.8409,0.152874,24.7888,20.6526,11.227,1.07066,1818,2062105
229,delete,19.284,-1.0,-1.0,-1.0,-1.0,9.736,1.05706,1818,2039610
230,search,3669.43,0.83892,0.153675,25.1294,20.8892,11.449,1.05706,1818,2039610
231,delete,9.247,-1.0,-1.0,-1.0,-1.0,9.669,1.05025,1818,2027795
232,search,3618.02,0.83784,0.154555,25.2542,20.9423,17.72,1.05025,1818,2027795
233,delete,6.887,-1.0,-1.0,-1.0,-1.0,14.056,1.04807,1818,2022859
234,search,3168.24,0.83751,0.154199,25.287,20.9366,11.084,1.04807,1818,2022859
235,delete,5.077,-1.0,-1.0,-1.0,-1.0,9.661,1.04502,1818,2016264
236,search,3103.44,0.83737,0.154328,25.3089,20.9416,11.13,1.04502,1818,2016264
237,delete,173.802,-1.0,-1.0,-1.0,-1.0,10.223,0.922922,1818,1782866
238,search,2950.14,0.83203,0.156784,26.1193,21.3925,10.968,0.922922,1818,1782866
239,delete,15.404,-1.0,-1.0,-1.0,-1.0,9.793,0.910989,1818,1758931
240,search,2737.08,0.82973,0.157742,26.3511,21.4413,10.913,0.910989,1818,1758931
241,delete,5.298,-1.0,-1.0,-1.0,-1.0,9.709,0.907239,1818,1751275
242,search,2744.69,0.82902,0.158101,26.4445,21.4555,10.906,0.907239,1818,1751275
243,delete,12.776,-1.0,-1.0,-1.0,-1.0,9.744,0.899058,1818,1733264
244,search,2843.13,0.82606,0.15926,27.4257,22.483,20.171,0.899058,1818,1733264
245,delete,17.962,-1.0,-1.0,-1.0,-1.0,14.817,0.893956,1818,1722658
246,search,3641.97,0.82565,0.159138,27.4898,22.497,18.578,0.893956,1818,1722658
247,delete,6.054,-1.0,-1.0,-1.0,-1.0,15.18,0.892665,1818,1719601
248,search,3453.26,0.825,0.159104,27.7058,22.7279,11.463,0.892665,1818,1719601
249,delete,8.317,-1.0,-1.0,-1.0,-1.0,9.489,0.888585,1818,1711648
250,search,3057.08,0.82427,0.159272,27.8052,22.7611,11.336,0.888585,1818,1711648
251,delete,189.372,-1.0,-1.0,-1.0,-1.0,10.081,0.766745,1818,1470624
