step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb,num_partitions
447,delete,228.642,-1.0,-1.0,8.962,2.45733,1743
448,search,6272.01,0.93607,0.0926135,9.438,2.45733,1743
449,delete,42.026,-1.0,-1.0,8.941,2.44289,1743
450,search,6266.65,0.9356,0.0929919,9.422,2.44289,1743
451,delete,72.88,-1.0,-1.0,8.977,2.40484,1743
452,search,6210.45,0.93454,0.0941704,9.185,2.40484,1743
453,delete,185.323,-1.0,-1.0,8.956,2.28499,1743
454,search,6034.5,0.9339,0.0942232,9.106,2.28499,1743
455,delete,32.683,-1.0,-1.0,8.747,2.26945,1743
456,search,6051.89,0.93322,0.0946883,9.073,2.26945,1743
457,delete,6.434,-1.0,-1.0,8.665,2.26532,1743
458,search,6048.9,0.93316,0.0947603,9.432,2.26532,1743
459,delete,27.906,-1.0,-1.0,8.803,2.24885,1743
460,search,6003.24,0.93325,0.0947971,9.04,2.24885,1743
461,delete,4.568,-1.0,-1.0,8.88,2.24742,1743
462,search,6016.16,0.93298,0.0950661,8.971,2.24742,1743
463,delete,37.349,-1.0,-1.0,8.815,2.22261,1743
464,search,5912.53,0.93337,0.0947664,9.061,2.22261,1743
465,delete,17.706,-1.0,-1.0,8.576,2.21194,1743
466,search,5922,0.93332,0.0947816,8.997,2.21194,1743
467,delete,24.231,-1.0,-1.0,8.554,2.1986,1743
468,search,5873.96,0.9332,0.0950936,9.069,2.1986,1743
469,delete,12.903,-1.0,-1.0,8.653,2.18832,1743
