nprobe_percentage,step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
0.5,86,search,33630.9,0.98235,0.0471124,1132.65,1.3256
0.5,87,insert,1336.38,-1.0,-1.0,0.0,1.51868
0.5,88,search,34413.8,0.98478,0.0425028,10220.9,1.52046
0.5,89,insert,992.01,-1.0,-1.0,0.0,1.67934
0.5,90,search,38139.1,0.98634,0.0395435,11659.5,1.67947
0.5,91,insert,118.143,-1.0,-1.0,0.0,1.69359
0.5,92,search,43373.5,0.98622,0.0400773,4030.16,1.69367
0.5,93,insert,882.897,-1.0,-1.0,0.0,1.79861
0.5,94,search,43180.6,0.98654,0.0392047,5516.66,1.7988
0.5,95,insert,60.793,-1.0,-1.0,0.0,1.80626
0.5,96,search,43812.8,0.98691,0.0386767,2241.62,1.80678
0.5,97,insert,37.091,-1.0,-1.0,0.0,1.81065
0.5,98,search,42798.9,0.98704,0.0386018,1381.24,1.81092
0.5,99,insert,20.421,-1.0,-1.0,0.0,1.81303
0.5,100,search,45119.1,0.9871,0.0385689,1295.79,1.81312
0.5,101,insert,150.529,-1.0,-1.0,0.0,1.82562
0.5,102,search,44183.1,0.98717,0.0383491,1474.14,1.8257
0.25,2,search,2282.69,0.88485,0.117342,1.716,0.0183457
0.25,3,insert,9.707,-1.0,-1.0,0.0,0.0223845
0.25,4,search,2203.75,0.89452,0.112956,1.774,0.0223845
0.25,5,insert,31.054,-1.0,-1.0,0.0,0.032811
0.25,6,search,2604.86,0.93574,0.0952189,72.078,0.032607
0.25,7,insert,38.421,-1.0,-1.0,0.0,0.0422019
0.25,8,search,2715.59,0.93128,0.0983071,146.99,0.042614
0.25,9,insert,5.194,-1.0,-1.0,0.0,0.0444508
0.25,10,search,2752.27,0.94257,0.0871074,119.664,0.0441481
0.25,11,insert,12.873,-1.0,-1.0,0.0,0.0491334
0.25,12,search,2846.73,0.93983,0.0899551,151.276,0.0490987
0.25,13,insert,30.466,-1.0,-1.0,0.0,0.0602396
0.25,14,search,2918.6,0.93398,0.0949639,161.71,0.0602281
0.25,15,insert,27.715,-1.0,-1.0,0.0,0.0689651
0.25,16,search,2973.34,0.93191,0.0951186,179.394,0.069085
0.25,17,insert,5.675,-1.0,-1.0,0.0,0.0712829
0.25,18,search,3117.7,0.93227,0.0947425,150.274,0.0714004
0.25,19,insert,47.577,-1.0,-1.0,0.0,0.0780039
0.25,20,search,3189.27,0.93655,0.0904867,181.48,0.0780292
0.25,21,insert,441.609,-1.0,-1.0,0.0,0.197719
0.25,22,search,3571.69,0.93834,0.0877201,912.217,0.197477
0.25,23,insert,450.585,-1.0,-1.0,0.0,0.321868
0.25,24,search,4341.87,0.91593,0.105138,1822.31,0.321488
0.25,25,insert,62.233,-1.0,-1.0,0.0,0.341099
0.25,26,search,4786.43,0.89842,0.116361,1729.48,0.341241
0.25,27,insert,39.278,-1.0,-1.0,0.0,0.353264
0.25,28,search,5503.58,0.89316,0.118508,729.246,0.353976
0.25,29,insert,82.9,-1.0,-1.0,0.0,0.380429
0.25,30,search,5527.95,0.89845,0.115403,566.173,0.37977
0.25,31,insert,587.56,-1.0,-1.0,0.0,0.543944
0.25,32,search,6017.92,0.90654,0.111415,3449.11,0.542931
0.25,33,insert,91.392,-1.0,-1.0,0.0,0.565799
0.25,34,search,6862.79,0.90644,0.111933,1878.59,0.565218
0.25,35,insert,56.485,-1.0,-1.0,0.0,0.579554
0.25,36,search,7543.78,0.90745,0.111673,904.371,0.579638
0.25,37,insert,82.46,-1.0,-1.0,0.0,0.601868
0.25,38,search,7443.85,0.90846,0.110802,774.153,0.601668
0.25,39,insert,13.019,-1.0,-1.0,0.0,0.60504
0.25,40,search,7758.55,0.90858,0.110928,583.728,0.604879
0.25,41,insert,69.935,-1.0,-1.0,0.0,0.6212
0.25,42,search,7828.81,0.91014,0.109952,865.999,0.621318
0.25,43,insert,19.907,-1.0,-1.0,0.0,0.625059
0.25,44,search,7679.94,0.91007,0.110048,691.175,0.624947
0.25,45,insert,346.416,-1.0,-1.0,0.0,0.640347
0.25,46,search,7876.18,0.91282,0.108133,984.944,0.639864
0.25,47,insert,488.511,-1.0,-1.0,0.0,0.73934
0.25,48,search,7968.13,0.91793,0.104952,2848.47,0.740093
0.25,49,insert,56.876,-1.0,-1.0,0.0,0.755575
0.25,50,search,8574.73,0.91923,0.104955,1552.22,0.754557
0.25,51,insert,614.492,-1.0,-1.0,0.0,0.890585
0.25,52,search,8898.39,0.92771,0.0990787,4777.14,0.891454
0.25,53,insert,95.807,-1.0,-1.0,0.0,0.911569
0.25,54,search,9866.91,0.92524,0.10105,2207.39,0.910524
0.25,55,insert,496.489,-1.0,-1.0,0.0,1.05029
0.25,56,search,10756.1,0.9338,0.0947638,5256.67,1.05166
0.25,57,insert,64.877,-1.0,-1.0,0.0,1.06022
0.25,58,search,11183.9,0.93294,0.0955876,2247.02,1.06059
0.25,59,insert,433.539,-1.0,-1.0,0.0,1.15772
0.25,60,search,11644.4,0.934,0.0944534,3835.39,1.15751
0.25,61,insert,21.641,-1.0,-1.0,0.0,1.16171
0.25,62,search,12050.7,0.93065,0.0991768,2092,1.16264
0.25,63,insert,7.967,-1.0,-1.0,0.0,1.16365
0.25,64,search,11637.3,0.93061,0.099272,1336.6,1.16468
0.25,65,insert,190.171,-1.0,-1.0,0.0,1.1951
0.25,66,search,11656.2,0.93284,0.0971381,2451.94,1.19502
0.25,67,insert,89.76,-1.0,-1.0,0.0,1.21518
0.25,68,search,12556.2,0.93315,0.0969631,1630.31,1.21553
0.25,69,insert,143.727,-1.0,-1.0,0.0,1.23926
0.25,70,search,12137,0.93399,0.0965082,1742.14,1.23899
0.25,71,insert,27.424,-1.0,-1.0,0.0,1.24378
0.25,72,search,12357.8,0.93443,0.0961615,1421.86,1.24376
0.25,73,insert,21.603,-1.0,-1.0,0.0,1.24711
0.25,74,search,12355.8,0.93426,0.0962957,1400,1.24741
0.25,75,insert,61.127,-1.0,-1.0,0.0,1.25443
0.25,76,search,12115.5,0.93436,0.096282,1475.32,1.25452
0.25,77,insert,70.904,-1.0,-1.0,0.0,1.26581
0.25,78,search,12431.3,0.93413,0.0961939,1383.47,1.26591
0.25,79,insert,808.369,-1.0,-1.0,0.0,1.295
0.25,80,search,12497.5,0.93401,0.096665,1820.87,1.29529
