step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
59,insert,234.221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,127.953,1.17588,1449,2643083
60,search,4358.74,2072.32,1424.62,0.975893,128.09,-nan,-nan,0.89471,0.125998,-1.0,-1.0,40.132,1.17611,1451,2643083
61,insert,11.949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.128,1.18036,1453,2653064
62,search,4359.06,2072.57,1421.73,0.984596,127.464,-nan,-nan,0.8949,0.12576,-1.0,-1.0,25.331,1.18036,1454,2653064
63,insert,3.69,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.27,1.18155,1454,2656118
64,search,4452.93,2072.72,1410.5,0.998785,123.856,-nan,-nan,0.89475,0.126188,-1.0,-1.0,10.476,1.18155,1454,2656118
65,insert,74.112,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.578,1.20956,1474,2723424
66,search,4468.76,2094.56,1439.13,0.960153,126.878,-nan,-nan,0.89558,0.125732,-1.0,-1.0,11.084,1.20956,1474,2723424
67,insert,44.184,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.561,1.22986,1486,2769021
68,search,4494.57,2113.38,1470.48,0.988697,125.167,-nan,-nan,0.89762,0.124267,-1.0,-1.0,10.621,1.22986,1486,2769021
69,insert,53.985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.337,1.25489,1496,2821777
70,search,4531.86,2130.53,1486.5,0.993484,129.665,-nan,-nan,0.89909,0.122725,-1.0,-1.0,16.807,1.25515,1497,2821777
71,insert,14.271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.407,1.26031,1501,2834921
72,search,4572.56,2132.4,1494.18,0.99627,128.363,-nan,-nan,0.89948,0.122461,-1.0,-1.0,13.111,1.26031,1501,2834921
73,insert,9.161,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.476,1.26346,1501,2842044
74,search,4575.15,2137.57,1501.21,0.994503,135.608,-nan,-nan,0.89968,0.122193,-1.0,-1.0,12.549,1.26346,1501,2842044
75,insert,24.862,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.118,1.26811,1504,2858890
76,search,4580.6,2141.92,1509.77,0.992986,135.215,-nan,-nan,0.89957,0.122393,-1.0,-1.0,12.081,1.26811,1504,2858890
77,insert,41.526,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.098,1.27752,1506,2882818
78,search,4596.57,2151.78,1519.25,0.932619,145.801,-nan,-nan,0.89884,0.122929,-1.0,-1.0,12.062,1.27752,1506,2882818
79,insert,492.984,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.947,1.30553,1510,2947806
80,search,4641.52,2175.43,1546.06,1.02913,139.766,-nan,-nan,0.89863,0.122712,-1.0,-1.0,11.57,1.30553,1510,2947806
81,insert,39.362,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.687,1.3183,1512,2976895
82,search,4644.8,2190.83,1553.99,0.983914,138.342,-nan,-nan,0.90005,0.122001,-1.0,-1.0,11.292,1.3183,1512,2976895
83,insert,19.547,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.19,1.32542,1516,2990682
84,search,4653.19,2193.12,1550.59,0.972272,139.66,-nan,-nan,0.90062,0.121522,-1.0,-1.0,11.356,1.32542,1516,2990682
85,insert,36.636,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.638,1.33859,1518,3025613
86,search,4660.56,2211,1564.52,1.01627,143.713,-nan,-nan,0.90126,0.121111,-1.0,-1.0,11.673,1.33859,1518,3025613
87,insert,607.447,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,671.305,1.54426,1616,3468632
88,search,5056.66,2348.14,1745.1,0.946497,155.837,-nan,-nan,0.90433,0.118725,-1.0,-1.0,73.669,1.54425,1623,3468632
89,insert,365.088,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,465.159,1.70346,1698,3831692
90,search,5332.99,2428.18,1881.95,0.944953,162.431,-nan,-nan,0.90861,0.113148,-1.0,-1.0,109.458,1.70374,1709,3831692
91,insert,35.131,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.804,1.71572,1712,3864067
92,search,5405.22,2426.49,1892.13,0.995646,170.177,-nan,-nan,0.90887,0.112731,-1.0,-1.0,22.945,1.71572,1713,3864067
93,insert,277.158,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,204.951,1.81717,1741,4103827
94,search,5545.58,2502.77,1995.22,0.960374,165.399,-nan,-nan,0.90971,0.11168,-1.0,-1.0,34.843,1.81735,1743,4103827
95,insert,18.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.911,1.82396,1748,4119898
96,search,5488.54,2502.47,1934.66,1.00477,164.727,-nan,-nan,0.91021,0.111124,-1.0,-1.0,16.38,1.82396,1748,4119898
97,insert,11.233,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.243,1.82672,1749,4129367
98,search,5575.76,2504.75,2003.35,0.983863,182.147,-nan,-nan,0.9102,0.11094,-1.0,-1.0,17.265,1.82672,1749,4129367
99,insert,6.196,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.974,1.82794,1749,4134502
100,search,5564.68,2509.17,1992.64,1.01704,174.827,-nan,-nan,0.91025,0.110986,-1.0,-1.0,17.057,1.82794,1749,4134502
101,insert,41.573,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.98,1.83914,1752,4164482
102,search,5607.22,2522.22,2020.24,1.01543,177.963,-nan,-nan,0.91064,0.110746,-1.0,-1.0,32.121,1.83945,1754,4164482
103,insert,21.739,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.47,1.84604,1756,4178601
104,search,5552.33,2523.37,1979.55,1.02499,166.706,-nan,-nan,0.91037,0.110945,-1.0,-1.0,16.78,1.84604,1756,4178601
105,insert,11.997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.441,1.84951,1756,4187774
106,search,5502.13,2529,1942.3,1.00011,165.528,-nan,-nan,0.91047,0.111072,-1.0,-1.0,16.687,1.84951,1756,4187774
107,insert,17.671,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.858,1.85395,1756,4200109
108,search,5614.97,2532.91,2034.31,0.934197,174.541,-nan,-nan,0.91047,0.111126,-1.0,-1.0,16.569,1.85395,1756,4200109
109,insert,496.536,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,503.732,2.01388,1821,4557867
110,search,5859.15,2619.59,2153.42,0.98492,183.649,-nan,-nan,0.91274,0.10931,-1.0,-1.0,59.328,2.01407,1826,4557867
111,insert,31.428,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.16,2.02685,1832,4587252
112,search,5722.92,2622.96,2008.63,1.09146,162.387,-nan,-nan,0.91365,0.109019,-1.0,-1.0,20.141,2.02685,1832,4587252
113,insert,12.457,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.949,2.03082,1832,4600056
114,search,5920.77,2629.62,2172.37,0.975266,189.908,-nan,-nan,0.91376,0.108877,-1.0,-1.0,22.97,2.03082,1832,4600056
115,insert,45.195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.69,2.04169,1838,4627422
116,search,6090.07,2636.04,2191.62,0.960192,188.251,-nan,-nan,0.91416,0.108522,-1.0,-1.0,20.543,2.04169,1838,4627422
117,insert,13.667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.382,2.04667,1838,4639292
118,search,6053.31,2643.37,2207.96,0.941323,193.414,-nan,-nan,0.91428,0.108144,-1.0,-1.0,33.415,2.04681,1839,4639292
119,insert,5.446,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.964,2.04888,1839,4643423
120,search,6042.47,2644.45,2196.42,0.983484,188.806,-nan,-nan,0.91429,0.108086,-1.0,-1.0,21.309,2.04888,1839,4643423
121,insert,20.594,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.429,2.05583,1840,4657252
122,search,6366.19,2650.74,2216.77,0.915279,192.121,-nan,-nan,0.91444,0.108016,-1.0,-1.0,28.087,2.05583,1840,4657252
123,insert,361.121,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,470.504,2.18573,1887,4938477
