step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
321,insert,69.056,-1.0,-1.0,0.0,2.39988
322,search,6260.98,0.89998,0.121042,2532.12,2.39935
323,insert,168.189,-1.0,-1.0,0.0,2.44672
324,search,6189.55,0.9013,0.120014,2768.02,2.4458
325,insert,2188.15,-1.0,-1.0,0.0,2.66086
326,search,6612.59,0.90248,0.11945,4239.24,2.66078
327,insert,122.826,-1.0,-1.0,0.0,2.69141
328,search,6710.61,0.9031,0.118616,3655.9,2.68907
329,insert,22.665,-1.0,-1.0,0.0,2.69317
330,search,6492.93,0.90348,0.118322,2578.82,2.69359
331,insert,90.729,-1.0,-1.0,0.0,2.71268
332,search,6664.61,0.90391,0.11823,2588.78,2.71361
333,insert,5.227,-1.0,-1.0,0.0,2.71509
334,search,6502.69,0.90445,0.117725,2333.28,2.71457
335,insert,70.948,-1.0,-1.0,0.0,2.73203
336,search,6778.49,0.90494,0.117192,2426.23,2.73198
337,insert,41.013,-1.0,-1.0,0.0,2.74068
338,search,6783.22,0.9053,0.116648,2393.09,2.74095
339,insert,102.653,-1.0,-1.0,0.0,2.75847
340,search,6594.18,0.90573,0.116359,2464.66,2.75952
341,insert,17.651,-1.0,-1.0,0.0,2.76236
342,search,6631.75,0.90541,0.116496,10.641,2.76236
343,insert,79.342,-1.0,-1.0,0.0,2.77735
344,search,6604.18,0.90578,0.116182,10.591,2.77735
345,insert,103.404,-1.0,-1.0,0.0,2.79561
346,search,6565.74,0.90632,0.115658,2508.59,2.79623
347,insert,936.765,-1.0,-1.0,0.0,2.99042
348,search,6960.63,0.90959,0.112568,8905.32,2.99036
349,insert,70.745,-1.0,-1.0,0.0,3.01012
350,search,7176.34,0.90941,0.112954,3603.63,3.00827
351,insert,703.683,-1.0,-1.0,0.0,3.18858
352,search,7293.73,0.90999,0.112715,5368.6,3.18805
353,insert,121.815,-1.0,-1.0,0.0,3.20888
354,search,7186.93,0.90767,0.114843,3504.05,3.21207
355,insert,731.807,-1.0,-1.0,0.0,3.37289
